obs,datetime
1.94,2009-09-22
13.7,2009-09-23
9.36,2009-09-24
7.07,2009-09-25
4.15,2009-09-26
1.22,2009-09-27
0.0,2009-09-28
7.8,2009-09-29
6.69,2009-09-30
14.11,2009-01-10
13.4,2009-02-10
11.21,2009-03-10
0.38,2009-04-10
12.27,2009-05-10
18.46,2009-06-10
0.41,2009-07-10
0.54,2009-08-10
0.0,2009-09-10
0.0,2009-10-10
0.0,2009-11-10
0.0,2009-12-10
0.0,2009-10-13
0.0,2009-10-14
0.0,2009-10-15
0.0,2009-10-16
0.0,2009-10-17
0.0,2009-10-18
0.0,2009-10-19
0.0,2009-10-20
0.0,2009-10-21
0.0,2009-10-22
0.0,2009-10-23
0.0,2009-10-24
0.0,2009-10-25
0.0,2009-10-26
0.0,2009-10-27
0.0,2009-10-28
0.0,2009-10-29
0.0,2009-10-30
0.0,2009-10-31
0.0,2009-01-11
0.0,2009-02-11
0.0,2009-03-11
0.0,2009-04-11
2.53,2009-05-11
0.0,2009-06-11
0.0,2009-07-11
0.0,2009-08-11
0.0,2009-09-11
0.0,2009-10-11
0.0,2009-11-11
0.0,2009-12-11
0.52,2009-11-13
0.0,2009-11-14
0.53,2009-11-15
0.0,2009-11-16
0.0,2009-11-17
33.02,2009-11-18
0.0,2009-11-19
0.0,2009-11-20
0.0,2009-11-21
0.0,2009-11-22
0.0,2009-11-23
0.0,2009-11-24
0.0,2009-11-25
0.0,2009-11-26
0.0,2009-11-27
0.0,2009-11-28
0.0,2009-11-29
0.0,2009-11-30
0.0,2009-01-12
0.0,2009-02-12
0.0,2009-03-12
0.0,2009-04-12
0.0,2009-05-12
0.0,2009-06-12
0.0,2009-07-12
0.0,2009-08-12
0.0,2009-09-12
0.0,2009-10-12
0.0,2009-11-12
0.0,2009-12-12
0.0,2009-12-13
0.0,2009-12-14
0.0,2009-12-15
0.0,2009-12-16
0.0,2009-12-17
0.0,2009-12-18
0.0,2009-12-19
0.0,2009-12-20
0.0,2009-12-21
0.0,2009-12-22
0.0,2009-12-23
0.0,2009-12-24
0.0,2009-12-25
0.0,2009-12-26
0.0,2009-12-27
0.0,2009-12-28
0.0,2009-12-29
0.0,2009-12-30
0.0,2009-12-31
0.0,2010-01-01
0.0,2010-02-01
0.0,2010-03-01
0.0,2010-04-01
0.0,2010-05-01
0.0,2010-06-01
0.0,2010-07-01
0.0,2010-08-01
0.0,2010-09-01
0.0,2010-10-01
0.0,2010-11-01
0.0,2010-12-01
0.0,2010-01-13
8.49,2010-01-14
0.0,2010-01-15
0.0,2010-01-16
0.0,2010-01-17
0.0,2010-01-18
0.0,2010-01-19
0.0,2010-01-20
0.0,2010-01-21
0.0,2010-01-22
0.0,2010-01-23
0.0,2010-01-24
0.0,2010-01-25
0.0,2010-01-26
0.0,2010-01-27
0.0,2010-01-28
0.0,2010-01-29
0.0,2010-01-30
0.0,2010-01-31
0.0,2010-01-02
0.0,2010-02-02
0.0,2010-03-02
0.0,2010-04-02
0.0,2010-05-02
0.0,2010-06-02
0.0,2010-07-02
0.0,2010-08-02
0.0,2010-09-02
0.0,2010-10-02
0.0,2010-11-02
0.0,2010-12-02
0.0,2010-02-13
0.0,2010-02-14
0.0,2010-02-15
0.0,2010-02-16
0.0,2010-02-17
0.0,2010-02-18
0.0,2010-02-19
0.0,2010-02-20
0.0,2010-02-21
0.0,2010-02-22
0.0,2010-02-23
0.0,2010-02-24
0.0,2010-02-25
0.0,2010-02-26
0.0,2010-02-27
0.0,2010-02-28
0.0,2010-01-03
0.0,2010-02-03
0.0,2010-03-03
0.0,2010-04-03
0.0,2010-05-03
0.0,2010-06-03
0.0,2010-07-03
0.0,2010-08-03
0.0,2010-09-03
0.0,2010-10-03
0.0,2010-11-03
0.46,2010-12-03
0.0,2010-03-13
0.0,2010-03-14
0.0,2010-03-15
0.0,2010-03-16
0.0,2010-03-17
0.0,2010-03-18
0.0,2010-03-19
0.0,2010-03-20
0.0,2010-03-21
0.0,2010-03-22
0.0,2010-03-23
0.0,2010-03-24
0.0,2010-03-25
0.0,2010-03-26
0.0,2010-03-27
0.0,2010-03-28
0.0,2010-03-29
0.0,2010-03-30
0.0,2010-03-31
0.0,2010-01-04
0.0,2010-02-04
0.0,2010-03-04
0.0,2010-04-04
0.0,2010-05-04
0.0,2010-06-04
0.0,2010-07-04
0.0,2010-08-04
0.0,2010-09-04
0.0,2010-10-04
0.0,2010-11-04
0.0,2010-12-04
0.0,2010-04-13
0.0,2010-04-14
0.0,2010-04-15
0.0,2010-04-16
0.0,2010-04-17
0.0,2010-04-18
0.0,2010-04-19
0.0,2010-04-20
0.0,2010-04-21
0.0,2010-04-22
0.0,2010-04-23
0.0,2010-04-24
0.0,2010-04-25
0.0,2010-04-26
0.0,2010-04-27
0.0,2010-04-28
1.87,2010-04-29
0.0,2010-04-30
0.0,2010-01-05
0.0,2010-02-05
0.0,2010-03-05
3.48,2010-04-05
0.0,2010-05-05
1.64,2010-06-05
0.0,2010-07-05
0.33,2010-08-05
0.0,2010-09-05
0.0,2010-10-05
0.0,2010-11-05
0.0,2010-12-05
0.0,2010-05-13
2.13,2010-05-14
0.0,2010-05-15
0.0,2010-05-16
0.0,2010-05-17
0.0,2010-05-18
0.0,2010-05-19
0.0,2010-05-20
6.28,2010-05-21
6.1,2010-05-22
15.92,2010-05-23
0.0,2010-05-24
2.17,2010-05-25
0.16,2010-05-26
0.0,2010-05-27
1.77,2010-05-28
20.83,2010-05-29
0.0,2010-05-30
0.0,2010-05-31
0.0,2010-01-06
0.0,2010-02-06
0.0,2010-03-06
0.0,2010-04-06
6.32,2010-05-06
0.0,2010-06-06
0.0,2010-07-06
0.0,2010-08-06
6.53,2010-09-06
0.22,2010-10-06
0.0,2010-11-06
0.0,2010-12-06
0.0,2010-06-13
0.0,2010-06-14
0.0,2010-06-15
0.0,2010-06-16
1.24,2010-06-17
4.1,2010-06-18
0.0,2010-06-19
31.48,2010-06-20
0.0,2010-06-21
0.0,2010-06-22
0.0,2010-06-23
5.14,2010-06-24
5.86,2010-06-25
19.42,2010-06-26
2.57,2010-06-27
1.05,2010-06-28
15.34,2010-06-29
4.9,2010-06-30
2.41,2010-01-07
2.9,2010-02-07
8.46,2010-03-07
0.0,2010-04-07
2.25,2010-05-07
63.85,2010-06-07
