idates,imonths,iyears,obs,meanmod,stdmod
14,8,2008,0.0,16.34,8.59
15,8,2008,10.62,22.22,9.85
16,8,2008,19.71,11.91,6.13
17,8,2008,23.58,8.17,3.27
18,8,2008,14.08,1.97,1.05
19,8,2008,3.61,9.2,5.44
20,8,2008,16.5,41.29,6.16
21,8,2008,16.86,2.38,1.63
22,8,2008,18.32,6.52,2.26
23,8,2008,23.96,19.81,6.81
24,8,2008,42.16,19.13,8.24
25,8,2008,17.14,7.07,3.17
26,8,2008,5.25,2.06,0.93
27,8,2008,7.01,0.4,0.12
28,8,2008,2.9,2.82,1.23
29,8,2008,0.56,17.09,10.05
30,8,2008,6.45,42.8,20.25
31,8,2008,7.97,11.24,4.15
1,9,2008,0.0,6.51,2.15
2,9,2008,0.0,13.64,2.75
3,9,2008,0.63,18.37,9.03
4,9,2008,5.87,15.36,5.97
5,9,2008,0.0,15.77,4.72
6,9,2008,0.51,10.62,3.61
7,9,2008,0.0,12.99,3.54
8,9,2008,0.0,16.42,3.55
9,9,2008,1.25,19.75,4.35
10,9,2008,9.93,8.94,3.55
11,9,2008,1.52,10.68,2.24
12,9,2008,0.0,1.66,0.92
13,9,2008,7.74,3.07,1.9
14,9,2008,87.47,33.04,8.05
15,9,2008,0.63,25.79,9.54
16,9,2008,23.23,27.56,7.69
17,9,2008,124.64,46.04,21.96
18,9,2008,203.6,17.32,4.08
19,9,2008,15.04,1.16,0.28
20,9,2008,0.0,2.53,1.6
21,9,2008,0.34,22.62,5.76
22,9,2008,0.0,14.82,3.22
23,9,2008,1.35,1.37,0.28
24,9,2008,0.0,0.05,0.01
25,9,2008,0.0,0.09,0.04
26,9,2008,0.0,0.01,0.01
27,9,2008,0.0,0.09,0.03
28,9,2008,0.0,0.11,0.03
29,9,2008,0.0,0.57,0.15
30,9,2008,3.95,1.25,0.17
1,10,2008,0.0,1.15,0.24
2,10,2008,0.0,0.41,0.07
3,10,2008,0.0,0.53,0.21
4,10,2008,0.0,4.7,1.78
5,10,2008,0.63,6.93,1.32
6,10,2008,0.0,5.28,2.0
7,10,2008,0.2,3.26,1.31
8,10,2008,0.0,1.67,0.72
9,10,2008,0.0,0.12,0.17
10,10,2008,0.21,2.81,0.56
11,10,2008,0.0,0.19,0.04
12,10,2008,0.0,0.01,0.01
13,10,2008,0.0,0.0,0.0
14,10,2008,0.0,0.01,0.01
15,10,2008,0.0,0.01,0.01
16,10,2008,0.0,0.24,0.05
17,10,2008,0.0,0.18,0.17
18,10,2008,0.0,0.15,0.12
19,10,2008,0.0,0.03,0.01
20,10,2008,0.0,0.0,0.0
21,10,2008,0.0,0.12,0.03
22,10,2008,0.0,0.19,0.08
23,10,2008,0.0,0.47,0.63
24,10,2008,0.0,0.04,0.05
25,10,2008,0.0,0.0,0.0
26,10,2008,0.0,1.42,0.39
27,10,2008,0.0,0.21,0.06
28,10,2008,0.0,0.0,0.0
29,10,2008,0.0,0.0,0.0
30,10,2008,0.0,0.0,0.0
31,10,2008,0.0,0.0,0.0
1,11,2008,0.0,0.0,0.0
2,11,2008,0.0,0.0,0.0
3,11,2008,0.0,0.0,0.0
4,11,2008,0.0,0.0,0.0
5,11,2008,0.0,0.0,0.0
6,11,2008,0.0,0.0,0.0
7,11,2008,0.0,0.0,0.0
8,11,2008,0.0,0.01,0.01
9,11,2008,0.0,0.01,0.0
10,11,2008,0.0,0.01,0.01
11,11,2008,0.0,0.07,0.02
12,11,2008,0.0,0.01,0.01
13,11,2008,0.0,0.0,0.0
14,11,2008,0.0,0.09,0.33
15,11,2008,0.0,5.76,4.13
16,11,2008,0.0,6.79,4.71
17,11,2008,0.0,0.98,0.58
18,11,2008,0.0,3.74,1.22
19,11,2008,0.0,2.7,1.53
20,11,2008,0.0,1.43,0.83
21,11,2008,0.0,0.32,0.1
22,11,2008,0.0,0.24,0.08
23,11,2008,0.0,0.0,0.0
24,11,2008,0.0,0.0,0.0
26,11,2008,0.0,0.0,0.0
27,11,2008,0.0,0.01,0.08
28,11,2008,0.0,0.34,0.29
29,11,2008,0.0,0.17,0.15
30,11,2008,0.0,0.0,0.0
1,12,2008,0.0,0.0,0.0
2,12,2008,0.0,0.0,0.0
3,12,2008,0.0,0.0,0.0
4,12,2008,0.0,0.0,0.0
5,12,2008,0.0,0.0,0.0
6,12,2008,0.0,0.0,0.0
7,12,2008,0.0,0.0,0.0
8,12,2008,0.0,0.0,0.0
9,12,2008,0.0,0.0,0.0
10,12,2008,0.0,0.0,0.0
11,12,2008,0.0,0.0,0.0
12,12,2008,0.0,0.0,0.0
13,12,2008,0.0,0.0,0.0
14,12,2008,0.0,0.0,0.0
15,12,2008,0.0,0.0,0.0
16,12,2008,0.0,0.0,0.0
17,12,2008,0.0,0.0,0.0
18,12,2008,0.0,0.0,0.0
19,12,2008,0.0,0.0,0.0
20,12,2008,0.0,0.0,0.0
21,12,2008,0.0,0.0,0.0
22,12,2008,0.0,0.0,0.0
23,12,2008,0.0,0.0,0.0
24,12,2008,0.0,0.0,0.0
25,12,2008,0.0,0.0,0.0
26,12,2008,0.0,0.0,0.0
27,12,2008,0.0,0.0,0.0
28,12,2008,0.0,0.0,0.0
29,12,2008,0.0,0.0,0.0
30,12,2008,0.0,0.0,0.0
31,12,2008,0.0,0.0,0.0
1,1,2009,0.0,0.0,0.0
2,1,2009,0.0,0.0,0.0
3,1,2009,0.0,0.0,0.0
4,1,2009,0.0,0.0,0.0
5,1,2009,0.0,0.18,0.11
6,1,2009,0.0,0.3,0.1
7,1,2009,0.0,0.42,0.11
8,1,2009,0.0,0.0,0.0
9,1,2009,0.0,0.01,0.0
10,1,2009,0.0,0.0,0.0
11,1,2009,0.0,0.0,0.0
12,1,2009,0.0,0.0,0.01
13,1,2009,0.0,0.0,0.0
14,1,2009,0.0,0.0,0.0
